time_s,envelope_v,label,event
1.36,0.4086,rest,rest
1.38,0.3570,rest,rest
1.40,0.3648,rest,rest
1.42,0.4337,rest,rest
1.44,0.4139,rest,rest
1.46,0.3911,rest,rest
1.48,0.3827,rest,rest
1.50,0.4549,rest,rest
1.52,0.3794,rest,rest
1.54,0.3894,rest,rest
1.56,0.3743,rest,rest
1.58,0.3957,rest,rest
1.60,0.4028,rest,rest
1.62,0.4016,rest,rest
1.64,0.3856,rest,rest
1.66,0.4223,rest,rest
1.68,0.4025,rest,rest
1.70,0.4113,rest,rest
1.72,0.3500,rest,rest
1.74,0.3865,rest,rest
1.76,0.3490,rest,rest
1.78,0.3923,rest,rest
1.80,0.3433,rest,rest
1.82,0.4199,rest,rest
1.84,0.3539,rest,rest
1.86,0.3967,rest,rest
1.88,0.4062,rest,rest
1.90,0.3687,rest,rest
1.92,0.4047,rest,rest
1.94,0.3981,rest,rest
1.96,0.3737,rest,rest
1.98,0.4129,rest,rest
2.00,0.3901,rest,rest
2.02,0.4056,rest,rest
2.04,0.4295,rest,rest
2.06,0.4377,rest,rest
2.08,0.4039,rest,rest
2.10,0.3993,rest,rest
2.12,0.3994,rest,rest
2.14,0.4119,rest,rest
2.16,0.3960,rest,rest
2.18,0.3689,rest,rest
2.20,0.3565,rest,rest
2.22,0.3684,rest,rest
2.24,0.3873,rest,rest
2.26,0.4126,rest,rest
2.28,0.4113,rest,rest
2.30,0.3910,rest,rest
2.32,0.3990,rest,rest
2.34,0.4203,rest,rest
2.36,0.3602,rest,rest
2.38,0.4234,rest,rest
2.40,0.4119,rest,rest
2.42,0.3983,rest,rest
2.44,0.4533,rest,rest
2.46,0.3870,rest,rest
2.48,0.3996,rest,rest
2.50,0.3998,rest,rest
2.52,0.3768,rest,rest
2.54,0.4211,rest,rest
2.56,0.3861,rest,rest
2.58,0.3701,rest,rest
2.60,0.3884,rest,rest
2.62,0.4191,rest,rest
2.64,0.3741,rest,rest
2.66,0.3783,rest,rest
2.68,0.3991,rest,rest
2.70,0.3721,rest,rest
2.72,0.4231,rest,rest
2.74,0.3850,rest,rest
2.76,0.4159,rest,rest
2.78,0.3982,rest,rest
2.80,0.3860,rest,rest
2.82,0.3989,rest,rest
2.84,0.4336,rest,rest
2.86,0.4002,rest,rest
2.88,0.3849,rest,rest
2.90,0.4093,rest,rest
2.92,0.4212,rest,rest
2.94,0.4015,rest,rest
2.96,0.3866,rest,rest
2.98,0.3740,rest,rest
3.00,0.4069,rest,rest
3.02,0.4119,rest,rest
3.04,0.4246,rest,rest
3.06,0.3994,rest,rest
3.08,0.3319,rest,rest
3.10,0.3674,rest,rest
3.12,0.3880,rest,rest
3.14,0.3983,rest,rest
3.16,0.3722,rest,rest
3.18,0.3635,rest,rest
3.20,0.3763,rest,rest
3.22,0.4030,rest,rest
3.24,0.4158,rest,rest
3.26,0.4178,rest,rest
3.28,0.3924,rest,rest
3.30,0.4114,rest,rest
3.32,0.3664,rest,rest
3.34,0.3561,rest,rest
3.36,0.3629,rest,rest
3.38,0.4307,rest,rest
3.40,0.3606,rest,rest
3.42,0.3547,rest,rest
3.44,0.4254,rest,rest
3.46,0.3625,rest,rest
3.48,0.4172,rest,rest
3.50,0.4141,rest,rest
3.52,0.3968,rest,rest
3.54,0.4087,rest,rest
3.56,0.4033,rest,rest
3.58,0.4207,rest,rest
3.60,0.3841,rest,rest
3.62,0.4402,rest,rest
3.64,0.4272,rest,rest
3.66,0.3832,rest,rest
3.68,0.3961,rest,rest
3.70,0.4114,rest,rest
3.72,0.3816,rest,rest
3.74,0.4021,rest,rest
3.76,0.4111,rest,rest
3.78,0.3881,rest,rest
3.80,0.3997,rest,rest
3.82,0.3627,rest,rest
3.84,0.3639,rest,rest
3.86,0.4183,rest,rest
3.88,0.4555,rest,rest
3.90,0.4048,rest,rest
3.92,0.4126,rest,rest
3.94,0.4356,rest,rest
3.96,0.3746,rest,rest
3.98,0.4197,rest,rest
4.00,0.4300,rest,rest
4.02,0.4088,rest,rest
4.04,0.4284,rest,rest
4.06,0.3676,rest,rest
4.08,0.3562,rest,rest
4.10,0.3442,rest,rest
4.12,0.4235,rest,rest
4.14,0.3812,rest,rest
4.16,0.3725,rest,rest
4.18,0.3833,rest,rest
4.20,0.4183,rest,rest
4.22,0.3705,rest,rest
4.24,0.4301,rest,rest
4.26,0.3824,rest,rest
4.28,0.4080,rest,rest
4.30,0.4066,rest,rest
4.32,0.3816,rest,rest
4.34,0.3709,rest,rest
4.36,0.4139,rest,rest
4.38,0.4172,rest,rest
4.40,0.4621,rest,rest
4.42,0.4450,rest,rest
4.44,0.4154,rest,rest
4.46,0.4308,rest,rest
4.48,0.3605,rest,rest
4.50,0.4345,rest,rest
4.52,0.3964,rest,rest
4.54,0.4033,rest,rest
4.56,0.3934,rest,rest
4.58,0.4272,rest,rest
4.60,0.3946,rest,rest
4.62,0.4140,rest,rest
4.64,0.3468,rest,rest
4.66,0.4140,rest,rest
4.68,0.4027,rest,rest
4.70,0.4360,rest,rest
4.72,0.3828,rest,rest
4.74,0.3982,rest,rest
4.76,0.3735,rest,rest
4.78,0.3946,rest,rest
4.80,0.4084,rest,rest
4.82,0.4139,rest,rest
4.84,0.3930,rest,rest
4.86,0.4265,rest,rest
4.88,0.4052,rest,rest
4.90,0.3859,rest,rest
4.92,0.4290,rest,rest
4.94,0.4251,rest,rest
4.96,0.3886,rest,rest
4.98,0.4066,rest,rest
5.00,0.4062,rest,rest
5.02,0.4013,rest,rest
5.04,0.3978,rest,rest
5.06,0.3945,rest,rest
5.08,0.3912,rest,rest
5.10,0.4253,rest,rest
5.12,0.3780,rest,rest
5.14,0.4357,rest,rest
5.16,0.4350,rest,rest
5.18,0.4258,rest,rest
5.20,0.3867,rest,rest
5.22,0.4295,rest,rest
5.24,0.4051,rest,rest
5.26,0.3937,rest,rest
5.28,0.4213,rest,rest
5.30,0.3600,rest,rest
5.32,0.3661,rest,rest
5.34,0.4142,rest,rest
5.36,0.3925,rest,rest
5.38,0.4040,rest,rest
5.40,0.4116,rest,rest
5.42,0.4230,rest,rest
5.44,0.3430,rest,rest
5.46,0.4482,rest,rest
5.48,0.3697,rest,rest
5.50,0.3815,rest,rest
5.52,0.4095,rest,rest
5.54,0.3859,rest,rest
5.56,0.4306,rest,rest
5.58,0.4236,rest,rest
5.60,0.4276,rest,rest
5.62,0.3974,rest,rest
5.64,0.4033,rest,rest
5.66,0.3986,rest,rest
5.68,0.4333,rest,rest
5.70,0.3997,rest,rest
5.72,0.3936,rest,rest
5.74,0.3889,rest,rest
5.76,0.4162,rest,rest
5.78,0.4479,rest,rest
5.80,0.4271,rest,rest
5.82,0.3624,rest,rest
5.84,0.4042,rest,rest
5.86,0.4393,rest,rest
5.88,0.4216,rest,rest
5.90,0.4436,rest,rest
5.92,0.3694,rest,rest
5.94,0.4344,rest,rest
5.96,0.3802,rest,rest
5.98,0.3961,rest,rest
6.00,0.4133,flex,flex_1
6.02,0.6127,flex,flex_1
6.04,0.5475,flex,flex_1
6.06,0.7064,flex,flex_1
6.08,0.6824,flex,flex_1
6.10,0.6492,flex,flex_1
6.12,0.9092,flex,flex_1
6.14,0.9957,flex,flex_1
6.16,0.9490,flex,flex_1
6.18,0.9711,flex,flex_1
6.20,1.0284,flex,flex_1
6.22,1.3425,flex,flex_1
6.24,1.2266,flex,flex_1
6.26,1.3632,flex,flex_1
6.28,1.2990,flex,flex_1
6.30,1.3198,flex,flex_1
6.32,1.3110,flex,flex_1
6.34,1.4123,flex,flex_1
6.36,1.3103,flex,flex_1
6.38,1.4133,flex,flex_1
6.40,1.4092,flex,flex_1
6.42,1.3126,flex,flex_1
6.44,1.4534,flex,flex_1
6.46,1.5191,flex,flex_1
6.48,1.5052,flex,flex_1
6.50,1.4308,flex,flex_1
6.52,1.5489,flex,flex_1
6.54,1.4924,flex,flex_1
6.56,1.5024,flex,flex_1
6.58,1.6307,flex,flex_1
6.60,1.5451,flex,flex_1
6.62,1.5518,flex,flex_1
6.64,1.5747,flex,flex_1
6.66,1.6486,flex,flex_1
6.68,1.4196,flex,flex_1
6.70,1.5525,flex,flex_1
6.72,1.4771,flex,flex_1
6.74,1.3751,flex,flex_1
6.76,1.4912,flex,flex_1
6.78,1.4687,flex,flex_1
6.80,1.5311,flex,flex_1
6.82,1.4006,flex,flex_1
6.84,1.3564,flex,flex_1
6.86,1.3624,flex,flex_1
6.88,1.3407,flex,flex_1
6.90,1.2544,flex,flex_1
6.92,1.3292,flex,flex_1
6.94,1.1929,flex,flex_1
6.96,1.3370,flex,flex_1
6.98,1.2122,flex,flex_1
7.00,1.3116,flex,flex_1
7.02,1.3125,flex,flex_1
7.04,1.4394,flex,flex_1
7.06,1.3586,flex,flex_1
7.08,1.2964,flex,flex_1
7.10,1.3939,flex,flex_1
7.12,1.3307,flex,flex_1
7.14,1.4352,flex,flex_1
7.16,1.4637,flex,flex_1
7.18,1.4850,flex,flex_1
7.20,1.3993,flex,flex_1
7.22,1.4964,flex,flex_1
7.24,1.6054,flex,flex_1
7.26,1.3928,flex,flex_1
7.28,1.5648,flex,flex_1
7.30,1.4860,flex,flex_1
7.32,1.4680,flex,flex_1
7.34,1.5692,flex,flex_1
7.36,1.4856,flex,flex_1
7.38,1.5186,flex,flex_1
7.40,1.4558,flex,flex_1
7.42,1.4704,flex,flex_1
7.44,1.3840,flex,flex_1
7.46,1.5201,flex,flex_1
7.48,1.4986,flex,flex_1
7.50,1.4666,flex,flex_1
7.52,1.4277,flex,flex_1
7.54,1.3706,flex,flex_1
7.56,1.3092,flex,flex_1
7.58,1.4150,flex,flex_1
7.60,1.2205,flex,flex_1
7.62,1.2294,flex,flex_1
7.64,1.3103,flex,flex_1
7.66,1.3702,flex,flex_1
7.68,1.2524,flex,flex_1
7.70,1.1201,flex,flex_1
7.72,1.3536,flex,flex_1
7.74,1.3976,flex,flex_1
7.76,1.4322,flex,flex_1
7.78,1.3132,flex,flex_1
7.80,1.3127,flex,flex_1
7.82,1.4783,flex,flex_1
7.84,1.4445,flex,flex_1
7.86,1.3365,flex,flex_1
7.88,1.4182,flex,flex_1
7.90,1.5202,flex,flex_1
7.92,1.4079,flex,flex_1
7.94,1.4881,flex,flex_1
7.96,1.5912,flex,flex_1
7.98,1.5095,flex,flex_1
8.00,1.5728,flex,flex_1
8.02,1.5011,flex,flex_1
8.04,1.5184,flex,flex_1
8.06,1.4729,flex,flex_1
8.08,1.5158,flex,flex_1
8.10,1.6145,flex,flex_1
8.12,1.5878,flex,flex_1
8.14,1.5654,flex,flex_1
8.16,1.4740,flex,flex_1
8.18,1.3647,flex,flex_1
8.20,1.5617,flex,flex_1
8.22,1.3806,flex,flex_1
8.24,1.3878,flex,flex_1
8.26,1.3249,flex,flex_1
8.28,1.3527,flex,flex_1
8.30,1.4258,flex,flex_1
8.32,1.3102,flex,flex_1
8.34,1.3752,flex,flex_1
8.36,1.3621,flex,flex_1
8.38,1.3592,flex,flex_1
8.40,1.3226,flex,flex_1
8.42,1.2292,flex,flex_1
8.44,1.1864,flex,flex_1
8.46,1.3634,flex,flex_1
8.48,1.4115,flex,flex_1
8.50,1.3200,flex,flex_1
8.52,1.4491,flex,flex_1
8.54,1.3521,flex,flex_1
8.56,1.3216,flex,flex_1
8.58,1.4324,flex,flex_1
8.60,1.4087,flex,flex_1
8.62,1.4541,flex,flex_1
8.64,1.4694,flex,flex_1
8.66,1.4637,flex,flex_1
8.68,1.4001,flex,flex_1
8.70,1.3537,flex,flex_1
8.72,1.3158,flex,flex_1
8.74,1.1918,flex,flex_1
8.76,1.2081,flex,flex_1
8.78,1.1160,flex,flex_1
8.80,1.0519,flex,flex_1
8.82,0.9454,flex,flex_1
8.84,0.8833,flex,flex_1
8.86,0.9485,flex,flex_1
8.88,0.7915,flex,flex_1
8.90,0.7258,flex,flex_1
8.92,0.7066,flex,flex_1
8.94,0.4927,flex,flex_1
8.96,0.6239,flex,flex_1
8.98,0.4757,flex,flex_1
9.00,0.3779,rest,rest
9.02,0.3919,rest,rest
9.04,0.3506,rest,rest
9.06,0.4203,rest,rest
9.08,0.3824,rest,rest
9.10,0.4255,rest,rest
9.12,0.3923,rest,rest
9.14,0.4280,rest,rest
9.16,0.4057,rest,rest
9.18,0.3980,rest,rest
9.20,0.4314,rest,rest
9.22,0.3828,rest,rest
9.24,0.3841,rest,rest
9.26,0.4037,rest,rest
9.28,0.3902,rest,rest
9.30,0.3937,rest,rest
9.32,0.4066,rest,rest
9.34,0.4142,rest,rest
9.36,0.4107,rest,rest
9.38,0.3798,rest,rest
9.40,0.4071,rest,rest
9.42,0.3853,rest,rest
9.44,0.3909,rest,rest
9.46,0.4056,rest,rest
9.48,0.4211,rest,rest
9.50,0.4125,rest,rest
9.52,0.3983,rest,rest
9.54,0.3891,rest,rest
9.56,0.3708,rest,rest
9.58,0.3641,rest,rest
9.60,0.3784,rest,rest
9.62,0.3997,rest,rest
9.64,0.4105,rest,rest
9.66,0.3999,rest,rest
9.68,0.3868,rest,rest
9.70,0.3932,rest,rest
9.72,0.3955,rest,rest
9.74,0.4025,rest,rest
9.76,0.3805,rest,rest
9.78,0.3905,rest,rest
9.80,0.3851,rest,rest
9.82,0.4122,rest,rest
9.84,0.3991,rest,rest
9.86,0.3969,rest,rest
9.88,0.3921,rest,rest
9.90,0.3787,rest,rest
9.92,0.3889,rest,rest
9.94,0.3918,rest,rest
9.96,0.4056,rest,rest
9.98,0.3457,rest,rest
10.00,0.3823,rest,rest
10.02,0.4250,rest,rest
10.04,0.3983,rest,rest
10.06,0.4400,rest,rest
10.08,0.3577,rest,rest
10.10,0.3740,rest,rest
10.12,0.3917,rest,rest
10.14,0.3954,rest,rest
10.16,0.4052,rest,rest
10.18,0.4182,rest,rest
10.20,0.4025,rest,rest
10.22,0.3902,rest,rest
10.24,0.3797,rest,rest
10.26,0.3661,rest,rest
10.28,0.3787,rest,rest
10.30,0.3692,rest,rest
10.32,0.4201,rest,rest
10.34,0.3806,rest,rest
10.36,0.3907,rest,rest
10.38,0.3447,rest,rest
10.40,0.3628,rest,rest
10.42,0.4315,rest,rest
10.44,0.4052,rest,rest
10.46,0.3762,rest,rest
10.48,0.3511,rest,rest
10.50,0.3598,rest,rest
10.52,0.3548,rest,rest
10.54,0.3472,rest,rest
10.56,0.3935,rest,rest
10.58,0.3829,rest,rest
10.60,0.3350,rest,rest
10.62,0.4037,rest,rest
10.64,0.3507,rest,rest
10.66,0.3678,rest,rest
10.68,0.3659,rest,rest
10.70,0.3742,rest,rest
10.72,0.3952,rest,rest
10.74,0.4016,rest,rest
10.76,0.4173,rest,rest
10.78,0.3756,rest,rest
10.80,0.3947,rest,rest
10.82,0.4354,rest,rest
10.84,0.3808,rest,rest
10.86,0.3416,rest,rest
10.88,0.3620,rest,rest
10.90,0.3781,rest,rest
10.92,0.4509,rest,rest
10.94,0.3627,rest,rest
10.96,0.3645,rest,rest
10.98,0.3900,rest,rest
11.00,0.3651,rest,rest
11.02,0.3933,rest,rest
11.04,0.3899,rest,rest
11.06,0.3836,rest,rest
11.08,0.3425,rest,rest
11.10,0.3926,rest,rest
11.12,0.3517,rest,rest
11.14,0.4087,rest,rest
11.16,0.4141,rest,rest
11.18,0.3979,rest,rest
11.20,0.3876,rest,rest
11.22,0.3918,rest,rest
11.24,0.4204,rest,rest
11.26,0.3649,rest,rest
11.28,0.3650,rest,rest
11.30,0.3795,rest,rest
11.32,0.3968,rest,rest
11.34,0.3597,rest,rest
11.36,0.4088,rest,rest
11.38,0.3951,rest,rest
11.40,0.3766,rest,rest
11.42,0.3999,rest,rest
11.44,0.3633,rest,rest
11.46,0.3405,rest,rest
11.48,0.3693,rest,rest
11.50,0.4069,rest,rest
11.52,0.3649,rest,rest
11.54,0.3793,rest,rest
11.56,0.3797,rest,rest
11.58,0.3886,rest,rest
11.60,0.3710,rest,rest
11.62,0.3758,rest,rest
11.64,0.3566,rest,rest
11.66,0.3523,rest,rest
11.68,0.3840,rest,rest
11.70,0.3552,rest,rest
11.72,0.3934,rest,rest
11.74,0.3951,rest,rest
11.76,0.3870,rest,rest
11.78,0.4339,rest,rest
11.80,0.3482,rest,rest
11.82,0.3390,rest,rest
11.84,0.3845,rest,rest
11.86,0.4045,rest,rest
11.88,0.3859,rest,rest
11.90,0.3874,rest,rest
11.92,0.3674,rest,rest
11.94,0.3744,rest,rest
11.96,0.3931,rest,rest
11.98,0.3279,rest,rest
12.00,0.4255,rest,rest
12.02,0.4122,rest,rest
12.04,0.4066,rest,rest
12.06,0.4679,rest,motion_artifact
12.08,0.5527,rest,motion_artifact
12.10,0.5889,rest,motion_artifact
12.12,0.7158,rest,motion_artifact
12.14,0.8561,rest,motion_artifact
12.16,0.9819,rest,motion_artifact
12.18,1.1075,rest,motion_artifact
12.20,1.1056,rest,motion_artifact
12.22,1.0973,rest,motion_artifact
12.24,0.9643,rest,motion_artifact
12.26,0.8909,rest,motion_artifact
12.28,0.7415,rest,motion_artifact
12.30,0.6843,rest,motion_artifact
12.32,0.5700,rest,motion_artifact
12.34,0.4598,rest,motion_artifact
12.36,0.4307,rest,rest
12.38,0.3657,rest,rest
12.40,0.3910,rest,rest
12.42,0.3619,rest,rest
12.44,0.3579,rest,rest
12.46,0.3454,rest,rest
12.48,0.3776,rest,rest
12.50,0.4206,rest,rest
12.52,0.3793,rest,rest
12.54,0.3780,rest,rest
12.56,0.4044,rest,rest
12.58,0.4144,rest,rest
12.60,0.3938,rest,rest
12.62,0.3427,rest,rest
12.64,0.3983,rest,rest
12.66,0.3943,rest,rest
12.68,0.4032,rest,rest
12.70,0.3819,rest,rest
12.72,0.3406,rest,rest
12.74,0.3638,rest,rest
12.76,0.3905,rest,rest
12.78,0.3793,rest,rest
12.80,0.3524,rest,rest
12.82,0.3819,rest,rest
12.84,0.3825,rest,rest
12.86,0.3996,rest,rest
12.88,0.3960,rest,rest
12.90,0.3558,rest,rest
12.92,0.3994,rest,rest
12.94,0.3672,rest,rest
12.96,0.4225,rest,rest
12.98,0.4195,rest,rest
13.00,0.3451,rest,rest
13.02,0.3900,rest,rest
13.04,0.4086,rest,rest
13.06,0.3112,rest,rest
13.08,0.3696,rest,rest
13.10,0.3646,rest,rest
13.12,0.3843,rest,rest
13.14,0.3651,rest,rest
13.16,0.3602,rest,rest
13.18,0.3674,rest,rest
13.20,0.3434,rest,rest
13.22,0.3670,rest,rest
13.24,0.3748,rest,rest
13.26,0.3370,rest,rest
13.28,0.3410,rest,rest
13.30,0.3696,rest,rest
13.32,0.3909,rest,rest
13.34,0.4082,rest,rest
13.36,0.3382,rest,rest
13.38,0.3581,rest,rest
13.40,0.3875,rest,rest
13.42,0.3612,rest,rest
13.44,0.3716,rest,rest
13.46,0.3629,rest,rest
13.48,0.3770,rest,rest
13.50,0.3475,rest,rest
13.52,0.3832,rest,rest
13.54,0.3224,rest,rest
13.56,0.3820,rest,rest
13.58,0.3669,rest,rest
13.60,0.3509,rest,rest
13.62,0.3926,rest,rest
13.64,0.3571,rest,rest
13.66,0.3505,rest,rest
13.68,0.3524,rest,rest
13.70,0.3482,rest,rest
13.72,0.3696,rest,rest
13.74,0.3493,rest,rest
13.76,0.3333,rest,rest
13.78,0.3548,rest,rest
13.80,0.3368,rest,rest
13.82,0.3719,rest,rest
13.84,0.3469,rest,rest
13.86,0.3281,rest,rest
13.88,0.3532,rest,rest
13.90,0.3875,rest,rest
13.92,0.3018,rest,rest
13.94,0.3628,rest,rest
13.96,0.3766,rest,rest
13.98,0.3131,rest,rest
14.00,0.3938,rest,rest
14.02,0.3956,rest,rest
14.04,0.3379,rest,rest
14.06,0.4039,rest,rest
14.08,0.4023,rest,rest
14.10,0.3720,rest,rest
14.12,0.3647,rest,rest
14.14,0.3268,rest,rest
14.16,0.3867,rest,rest
14.18,0.3973,rest,rest
14.20,0.3795,rest,rest
14.22,0.3771,rest,rest
14.24,0.3530,rest,rest
14.26,0.3961,rest,rest
14.28,0.3875,rest,rest
14.30,0.3527,rest,rest
14.32,0.3553,rest,rest
14.34,0.3674,rest,rest
14.36,0.3369,rest,rest
14.38,0.3558,rest,rest
14.40,0.3563,rest,rest
14.42,0.3654,rest,rest
14.44,0.3616,rest,rest
14.46,0.3287,rest,rest
14.48,0.3610,rest,rest
14.50,0.4129,rest,rest
14.52,0.3239,rest,rest
14.54,0.3587,rest,rest
14.56,0.3622,rest,rest
14.58,0.3830,rest,rest
14.60,0.3430,rest,rest
14.62,0.3716,rest,rest
14.64,0.3721,rest,rest
14.66,0.4229,rest,rest
14.68,0.3472,rest,rest
14.70,0.3656,rest,rest
14.72,0.3467,rest,rest
14.74,0.3539,rest,rest
14.76,0.3642,rest,rest
14.78,0.3656,rest,rest
14.80,0.3252,rest,rest
14.82,0.3742,rest,rest
14.84,0.3746,rest,rest
14.86,0.3995,rest,rest
14.88,0.4407,rest,rest
14.90,0.3565,rest,rest
14.92,0.3879,rest,rest
14.94,0.3585,rest,rest
14.96,0.3534,rest,rest
14.98,0.3526,rest,rest
15.00,0.4050,flex,flex_2
15.02,0.4741,flex,flex_2
15.04,0.5184,flex,flex_2
15.06,0.7244,flex,flex_2
15.08,0.7393,flex,flex_2
15.10,0.7560,flex,flex_2
15.12,0.9002,flex,flex_2
15.14,1.0968,flex,flex_2
15.16,1.0271,flex,flex_2
15.18,1.1486,flex,flex_2
15.20,1.2596,flex,flex_2
15.22,1.3855,flex,flex_2
15.24,1.5054,flex,flex_2
15.26,1.5425,flex,flex_2
15.28,1.4648,flex,flex_2
15.30,1.3620,flex,flex_2
15.32,1.3737,flex,flex_2
15.34,1.4138,flex,flex_2
15.36,1.2773,flex,flex_2
15.38,1.3013,flex,flex_2
15.40,1.2797,flex,flex_2
15.42,1.3085,flex,flex_2
15.44,1.1514,flex,flex_2
15.46,1.3477,flex,flex_2
15.48,1.2290,flex,flex_2
15.50,1.3045,flex,flex_2
15.52,1.3331,flex,flex_2
15.54,1.2870,flex,flex_2
15.56,1.2429,flex,flex_2
15.58,1.3444,flex,flex_2
15.60,1.2170,flex,flex_2
15.62,1.2501,flex,flex_2
15.64,1.2869,flex,flex_2
15.66,1.3159,flex,flex_2
15.68,1.3127,flex,flex_2
15.70,1.2884,flex,flex_2
15.72,1.2025,flex,flex_2
15.74,1.4288,flex,flex_2
15.76,1.3754,flex,flex_2
15.78,1.3618,flex,flex_2
15.80,1.4812,flex,flex_2
15.82,1.4660,flex,flex_2
15.84,1.5165,flex,flex_2
15.86,1.3353,flex,flex_2
15.88,1.4816,flex,flex_2
15.90,1.5638,flex,flex_2
15.92,1.4914,flex,flex_2
15.94,1.4133,flex,flex_2
15.96,1.4593,flex,flex_2
15.98,1.4463,flex,flex_2
16.00,1.3175,flex,flex_2
16.02,1.4313,flex,flex_2
16.04,1.4270,flex,flex_2
16.06,1.2953,flex,flex_2
16.08,1.4358,flex,flex_2
16.10,1.3856,flex,flex_2
16.12,1.3641,flex,flex_2
16.14,1.2568,flex,flex_2
16.16,1.2296,flex,flex_2
16.18,1.1722,flex,flex_2
16.20,1.3302,flex,flex_2
16.22,1.2362,flex,flex_2
16.24,1.1513,flex,flex_2
16.26,1.2345,flex,flex_2
16.28,1.1554,flex,flex_2
16.30,1.2508,flex,flex_2
16.32,1.3598,flex,flex_2
16.34,1.4170,flex,flex_2
16.36,1.2122,flex,flex_2
16.38,1.3347,flex,flex_2
16.40,1.2948,flex,flex_2
16.42,1.1692,flex,flex_2
16.44,1.3656,flex,flex_2
16.46,1.4542,flex,flex_2
16.48,1.2885,flex,flex_2
16.50,1.4732,flex,flex_2
16.52,1.4345,flex,flex_2
16.54,1.5476,flex,flex_2
16.56,1.6248,flex,flex_2
16.58,1.5033,flex,flex_2
16.60,1.5285,flex,flex_2
16.62,1.5683,flex,flex_2
16.64,1.4494,flex,flex_2
16.66,1.5558,flex,flex_2
16.68,1.4397,flex,flex_2
16.70,1.3091,flex,flex_2
16.72,1.5112,flex,flex_2
16.74,1.4685,flex,flex_2
16.76,1.5038,flex,flex_2
16.78,1.4000,flex,flex_2
16.80,1.3046,flex,flex_2
16.82,1.3314,flex,flex_2
16.84,1.2376,flex,flex_2
16.86,1.2398,flex,flex_2
16.88,1.2254,flex,flex_2
16.90,1.3235,flex,flex_2
16.92,1.3085,flex,flex_2
16.94,1.3419,flex,flex_2
16.96,1.2216,flex,flex_2
16.98,1.2079,flex,flex_2
17.00,1.2196,flex,flex_2
17.02,1.1861,flex,flex_2
17.04,1.2714,flex,flex_2
17.06,1.2423,flex,flex_2
17.08,1.1232,flex,flex_2
17.10,1.2534,flex,flex_2
17.12,1.4189,flex,flex_2
17.14,1.3480,flex,flex_2
17.16,1.5261,flex,flex_2
17.18,1.3378,flex,flex_2
17.20,1.5153,flex,flex_2
17.22,1.4997,flex,flex_2
17.24,1.4696,flex,flex_2
17.26,1.4142,flex,flex_2
17.28,1.4226,flex,flex_2
17.30,1.4789,flex,flex_2
17.32,1.5254,flex,flex_2
17.34,1.5087,flex,flex_2
17.36,1.6017,flex,flex_2
17.38,1.5012,flex,flex_2
17.40,1.4550,flex,flex_2
17.42,1.2872,flex,flex_2
17.44,1.3644,flex,flex_2
17.46,1.3691,flex,flex_2
17.48,1.3135,flex,flex_2
17.50,1.3844,flex,flex_2
17.52,1.3318,flex,flex_2
17.54,1.2878,flex,flex_2
17.56,1.2577,flex,flex_2
17.58,1.4089,flex,flex_2
17.60,1.2279,flex,flex_2
17.62,1.3879,flex,flex_2
17.64,1.2650,flex,flex_2
17.66,1.1349,flex,flex_2
17.68,1.3261,flex,flex_2
17.70,1.3279,flex,flex_2
17.72,1.3422,flex,flex_2
17.74,1.3480,flex,flex_2
